FID,ssurgo_100,ssurgo_101,ssurgo_102,valu1_OBJE,valu1_aws0,valu1_aws5,valu1_aws2,valu1_aw_1,valu1_aws1,valu1_aw_2,valu1_aw_3,valu1_aw_4,valu1_aw_5,valu1_aw_6,valu1_aw_7,valu1_tk0_,valu1_tk5_,valu1_tk20,valu1_tk50,valu1_tk10,valu1_tk15,valu1_tk01,valu1_tk_1,valu1_tk_2,valu1_tk_3,valu1_tk_4,valu1_musu,valu1_soc0,valu1_soc5,valu1_soc2,valu1_so_1,valu1_soc1,valu1_so_2,valu1_so_3,valu1_so_4,valu1_so_5,valu1_so_6,valu1_so_7,valu1_tk_5,valu1_tk51,valu1_tk_6,valu1_tk_7,valu1_tk_8,valu1_tk_9,valu1_t_10,valu1_t_11,valu1_t_12,valu1_t_13,valu1_t_14,valu1_mu_1,valu1_nccp,valu1_nc_1,valu1_nc_2,valu1_nc_3,valu1_pcte,valu1_root,valu1_ro_1,valu1_drou,valu1_pwsl,valu1_mu_2,valu1_muke,AREA_km2
30,31,485,160869,80519,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100,0,0,1,100,100,160869,0.0134027
31,32,483,160867,80517,10.3999996,33.2999992,75.0000000,67.8000031,26.0799999,0.9200000,43.7000008,68.6999969,186.5000000,212.5800018,213.5000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,4500.3398438,12780.0000000,21645.1992188,16437.8007813,1889.2800293,60.8400002,17280.3007813,24838.9003906,55363.3007813,57252.6015625,57313.3984375,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.2600000,0.2600000,0.0000000,0.2600000,100,150,213,0,100,100,160867,0.0124717
41,49,485,160869,80519,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100,0,0,1,100,100,160869,0.0452098
50,67,485,160869,80519,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100,0,0,1,100,100,160869,0.0001000
53,77,480,160864,80515,9.0000000,27.0000000,46.0000000,64.5000000,39.0000000,0.6000000,36.0000000,54.0000000,146.5000000,185.5000000,186.1000061,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1647.5999756,4942.7900391,5858.1298828,5737.1499023,2835.4199219,29.3199997,6590.3901367,9885.5800781,18185.6992188,21021.0996094,21050.4003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7200000,0.4900000,0.0000000,0.7200000,100,150,186,0,100,100,160864,0.0001000
59,83,485,160869,80519,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100,0,0,1,100,100,160869,0.1572130
62,88,480,160864,80515,9.0000000,27.0000000,46.0000000,64.5000000,39.0000000,0.6000000,36.0000000,54.0000000,146.5000000,185.5000000,186.1000061,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,1647.5999756,4942.7900391,5858.1298828,5737.1499023,2835.4199219,29.3199997,6590.3901367,9885.5800781,18185.6992188,21021.0996094,21050.4003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.7200000,0.4900000,0.0000000,0.7200000,100,150,186,0,100,100,160864,0.0004476
70,104,487,160871,80522,19.0000000,57.0000000,114.0000000,175.6600037,161.2500000,170.9299927,76.0000000,114.0000000,365.6700134,526.9099731,697.8400269,4.7500000,14.2500000,28.5000000,47.5000000,47.5000000,50.3499985,19.0000000,28.5000000,95.0000000,142.5000000,192.8500061,95.0000000,4132.5000000,12397.5000000,24795.0000000,41534.3984375,39497.1015625,41867.0000000,16530.0000000,24795.0000000,82859.5000000,122357.0000000,164224.0000000,4.7500000,14.2500000,28.5000000,47.5000000,47.5000000,50.3499985,19.0000000,28.5000000,95.0000000,142.5000000,192.8500061,95.0000000,0.1000000,0.1500000,0.0000000,0.1500000,75,150,600,0,100,100,160871,0.0152482
72,106,485,160869,80519,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100,0,0,1,100,100,160869,0.0019903
78,115,532,160916,80566,9.8999996,29.7000008,51.9500008,65.8700027,29.2099991,30.4400005,39.5999985,59.0600014,157.4100037,186.6300049,217.0599976,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1397.1999512,4191.6098633,4816.7500000,2909.1999512,1037.8199463,1060.8499756,5588.8100586,8229.5595703,13314.7998047,14352.5996094,15413.4003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.6500000,0.4800000,0.0000000,0.6500000,85,150,180,0,95,100,160916,0.0066628
83,120,485,160869,80519,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100,0,0,1,100,100,160869,0.0105143
86,124,485,160869,80519,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100,0,0,1,100,100,160869,0.0045521
96,135,485,160869,80519,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100,0,0,1,100,100,160869,0.0052151
100,143,521,160905,80555,20.0000000,60.0000000,120.0000000,136.1999969,42.7000008,1.4000000,80.0000000,120.0000000,336.2000122,378.8999939,380.2999878,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,8482.5000000,25447.5000000,50895.0000000,40545.3984375,3707.9799805,117.2399979,33930.0000000,50895.0000000,125370.0000000,129078.0000000,129196.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.8800000,0.4100000,0.0000000,0.8800000,100,150,379,0,100,100,160905,0.0141855
106,155,485,160869,80519,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100,0,0,1,100,100,160869,0.0075453
120,182,488,160872,80521,20.0000000,60.0000000,120.0000000,181.0000000,162.8999939,172.6699982,80.0000000,120.0000000,381.0000000,543.9000244,716.5800171,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,9515.6298828,28546.9003906,29199.4003906,43601.1015625,41108.3007813,43574.8007813,38062.5000000,49861.8984375,110863.0000000,151971.0000000,195546.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.9100000,0.3500000,0.0000000,0.9100000,75,150,600,0,100,100,160872,0.0346777
124,188,487,160871,80522,19.0000000,57.0000000,114.0000000,175.6600037,161.2500000,170.9299927,76.0000000,114.0000000,365.6700134,526.9099731,697.8400269,4.7500000,14.2500000,28.5000000,47.5000000,47.5000000,50.3499985,19.0000000,28.5000000,95.0000000,142.5000000,192.8500061,95.0000000,4132.5000000,12397.5000000,24795.0000000,41534.3984375,39497.1015625,41867.0000000,16530.0000000,24795.0000000,82859.5000000,122357.0000000,164224.0000000,4.7500000,14.2500000,28.5000000,47.5000000,47.5000000,50.3499985,19.0000000,28.5000000,95.0000000,142.5000000,192.8500061,95.0000000,0.1000000,0.1500000,0.0000000,0.1500000,75,150,600,0,100,100,160871,0.0267917
127,191,533,160917,80567,11.2299995,33.6899986,62.1800003,74.1800003,15.0000000,2.1300001,44.9199982,67.3399963,181.2799988,196.2799988,198.4100037,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,7.0999999,20.0000000,30.0000000,100.0000000,150.0000000,157.1000061,100.0000000,6570.5698242,19711.6992188,21045.4003906,3469.8300781,1943.5300293,1324.9499512,26282.3007813,38764.6992188,50797.5000000,52741.0000000,54065.8984375,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,7.0999999,20.0000000,30.0000000,100.0000000,150.0000000,157.1000061,100.0000000,0.6500000,0.4600000,0.0000000,0.6500000,90,150,187,0,98,100,160917,0.0085137
129,196,485,160869,80519,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100,0,0,1,100,100,160869,0.6064260
131,198,521,160905,80555,20.0000000,60.0000000,120.0000000,136.1999969,42.7000008,1.4000000,80.0000000,120.0000000,336.2000122,378.8999939,380.2999878,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,8482.5000000,25447.5000000,50895.0000000,40545.3984375,3707.9799805,117.2399979,33930.0000000,50895.0000000,125370.0000000,129078.0000000,129196.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100.0000000,0.8800000,0.4100000,0.0000000,0.8800000,100,150,379,0,100,100,160905,0.0202054
134,207,485,160869,80519,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100,0,0,1,100,100,160869,0.0719538
135,208,532,160916,80566,9.8999996,29.7000008,51.9500008,65.8700027,29.2099991,30.4400005,39.5999985,59.0600014,157.4100037,186.6300049,217.0599976,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,1397.1999512,4191.6098633,4816.7500000,2909.1999512,1037.8199463,1060.8499756,5588.8100586,8229.5595703,13314.7998047,14352.5996094,15413.4003906,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,53.0000000,20.0000000,30.0000000,100.0000000,150.0000000,203.0000000,100.0000000,0.6500000,0.4800000,0.0000000,0.6500000,85,150,180,0,95,100,160916,0.0212659
136,209,533,160917,80567,11.2299995,33.6899986,62.1800003,74.1800003,15.0000000,2.1300001,44.9199982,67.3399963,181.2799988,196.2799988,198.4100037,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,7.0999999,20.0000000,30.0000000,100.0000000,150.0000000,157.1000061,100.0000000,6570.5698242,19711.6992188,21045.4003906,3469.8300781,1943.5300293,1324.9499512,26282.3007813,38764.6992188,50797.5000000,52741.0000000,54065.8984375,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,7.0999999,20.0000000,30.0000000,100.0000000,150.0000000,157.1000061,100.0000000,0.6500000,0.4600000,0.0000000,0.6500000,90,150,187,0,98,100,160917,0.0007660
138,212,533,160917,80567,11.2299995,33.6899986,62.1800003,74.1800003,15.0000000,2.1300001,44.9199982,67.3399963,181.2799988,196.2799988,198.4100037,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,7.0999999,20.0000000,30.0000000,100.0000000,150.0000000,157.1000061,100.0000000,6570.5698242,19711.6992188,21045.4003906,3469.8300781,1943.5300293,1324.9499512,26282.3007813,38764.6992188,50797.5000000,52741.0000000,54065.8984375,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,7.0999999,20.0000000,30.0000000,100.0000000,150.0000000,157.1000061,100.0000000,0.6500000,0.4600000,0.0000000,0.6500000,90,150,187,0,98,100,160917,0.0001000
141,217,533,160917,80567,11.2299995,33.6899986,62.1800003,74.1800003,15.0000000,2.1300001,44.9199982,67.3399963,181.2799988,196.2799988,198.4100037,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,7.0999999,20.0000000,30.0000000,100.0000000,150.0000000,157.1000061,100.0000000,6570.5698242,19711.6992188,21045.4003906,3469.8300781,1943.5300293,1324.9499512,26282.3007813,38764.6992188,50797.5000000,52741.0000000,54065.8984375,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,7.0999999,20.0000000,30.0000000,100.0000000,150.0000000,157.1000061,100.0000000,0.6500000,0.4600000,0.0000000,0.6500000,90,150,187,0,98,100,160917,0.0001000
149,231,485,160869,80519,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100,0,0,1,100,100,160869,0.0057490
170,275,485,160869,80519,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100,0,0,1,100,100,160869,0.0001000
171,278,485,160869,80519,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100,0,0,1,100,100,160869,0.0086978
